decimalLongitude,decimalLatitude,agricultural,built,coast,forest,other,sand/heather,water,wetland,main_habitat
5.3,51.35,9.199,4.7065,0.0,2.7345,2.238,0.08149999999999999,0.4137,0.0,agricultural
5.35,51.35,7.747,2.8413,0.0,5.6503,2.9047,0.1155,0.0712,0.0188,agricultural
5.4,51.35,9.579,4.3225,0.0,2.9089,2.0776,0.0093,0.35340000000000005,0.1049,agricultural
5.45,51.35,2.9673000000000003,5.4195,0.0,5.6556999999999995,3.6341,0.6289,0.7723,0.3099,forest
5.5,51.35,4.7976,0.4879,0.0,8.2676,1.3126,3.3667,0.1261,1.0042,forest
5.55,51.35,9.6083,4.4227,0.0,2.7407,1.8058999999999998,0.4703,0.10500000000000001,0.2061,agricultural
5.6,51.35,6.1117,0.9088,0.0,4.4846,1.1728,1.4015,0.1472,5.1453,agricultural
5.65,51.35,10.183399999999999,1.7942,0.0,3.8657,2.206,0.7285,0.0959,0.4926,agricultural
5.7,51.35,7.7513,8.4914,0.0,0.8140000000000001,1.8868,0.0,0.4198,0.0,built
5.75,51.35,11.5482,3.0525,0.0,2.7419000000000002,1.6564,0.0024,0.1674,0.1965,agricultural
5.8,51.35,10.6912,1.0501,0.0,2.5812,0.8512,0.6341,0.0245,3.5346,agricultural
5.85,51.35,11.828100000000001,2.1322,0.0,2.4966,1.2875,0.08499999999999999,0.15339999999999998,1.3831,agricultural
5.9,51.35,10.8473,2.417,0.0,3.4513,1.3199,0.4535,0.1814,0.6937,agricultural
5.95,51.35,10.4417,1.4836,0.0,4.2252,3.0374,0.0836,0.09469999999999999,0.0,agricultural
6.0,51.35,13.0398,2.5302,0.0,2.3979,1.3194000000000001,0.0,0.0772,0.0,agricultural
6.05,51.35,8.8879,4.9803,0.0,3.3948,1.7546,0.0,0.3288,0.0195,agricultural
6.1,51.35,4.0993,7.235,0.0,3.1161,4.6035,0.0124,0.3001,0.0,built
6.15,51.35,2.8203,10.4631,0.0,1.5797,3.5366,0.0051,0.9355,0.0255,built
6.2,51.35,2.4771,1.9228,0.0,1.6098,0.8164,0.8456,0.0195,0.0037,agricultural
3.4,51.4,0.0,0.0,19.3487,0.0,0.0,0.0,0.0,0.0,coast
3.45,51.4,0.015000000000000001,0.0,19.299200000000003,0.0021,0.0292,0.0,0.0022,0.0,coast
3.5,51.4,0.6852,0.15,17.3784,0.0669,0.833,0.0,0.2288,0.0061,coast
3.55,51.4,0.16260000000000002,1.4962,16.6037,0.0044,0.7668,0.0,0.31339999999999996,0.0,coast
3.6,51.4,1.7576,0.2396,16.5738,0.0937,0.5342,0.0,0.12530000000000002,0.024,coast
3.65,51.4,0.0013,0.7964,18.2773,0.0,0.2721,0.0,0.0,0.0,coast
3.7,51.4,4.019,5.2575,8.3781,0.2822,1.3361,0.0,0.0469,0.0282,coast
3.75,51.4,14.4805,0.5654,2.6841,0.1918,1.1006,0.0,0.2871,0.0362,agricultural
3.8,51.4,17.1881,1.1238,0.0,0.1411,0.6875,0.0,0.1928,0.0145,agricultural
3.85,51.4,16.868100000000002,1.2709,0.0,0.199,0.7842,0.0,0.1789,0.0447,agricultural
3.9,51.4,5.3362,0.5543,12.805100000000001,0.0345,0.5788,0.0,0.0373,0.0005,coast
3.95,51.4,1.0841,0.0554,17.9937,0.0,0.1907,0.0,0.0221,0.0,coast
4.0,51.4,2.6367000000000003,1.0781,13.991499999999998,0.15,1.3568,0.0,0.12190000000000001,0.0111,coast
4.05,51.4,11.837299999999999,1.1019,4.916,0.0678,1.3092,0.0,0.114,0.0,agricultural
4.1,51.4,10.5682,1.47,5.9935,0.027,1.145,0.0,0.1279,0.0149,agricultural
4.15,51.4,11.3524,1.3019,5.2155000000000005,0.068,1.1993,0.0,0.1404,0.0675,agricultural
4.2,51.4,9.6766,1.212,2.2882000000000002,1.0139,1.7794,0.0,3.0675999999999997,0.3091,agricultural
4.25,51.4,16.6247,0.3963,0.0,0.5014000000000001,1.3081,0.0,0.45330000000000004,0.0613,agricultural
4.3,51.4,7.0668,4.3689,0.0,4.1314,3.0224,0.34700000000000003,0.0629,0.34540000000000004,agricultural
4.35,51.4,4.5352,1.2008,0.0,7.1042000000000005,1.1541,0.8037000000000001,0.0268,1.2769,forest
4.5,51.4,2.6775,0.1408,0.0,0.0884,0.0701,0.0,0.0176,0.4359,agricultural
4.55,51.4,6.518,0.485,0.0,0.29159999999999997,0.2084,0.0,0.028999999999999998,0.0,agricultural
4.6,51.4,7.2831,0.951,0.0,0.176,0.7209,0.0041,0.0514,0.0,agricultural
4.65,51.4,2.4884,0.2154,0.0,0.8143,0.0856,0.0,0.036,0.0437,agricultural
4.75,51.4,3.8234,0.2427,0.0,0.30410000000000004,0.1115,0.0,0.0051,0.0073,agricultural
4.8,51.4,7.2245,0.2452,0.0,1.4802,0.198,0.0134,0.0271,0.0878,agricultural
4.85,51.4,10.828800000000001,0.393,0.0,2.114,0.36779999999999996,0.1132,0.0361,0.2163,agricultural
